"Canton","Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Zurich",,"37'642","37'956","37'352","36'389","36'014","35'474","35'579","35'790","36'233","36'691","37'720","38'591"
"Berne",,"21'053","20'982","20'902","20'093","19'492","18'883","18'968","18'986","19'218","19'836","20'961","21'637"
"Lucerne",,"7'897","7'903","7'825","7'554","7'332","7'148","7'023","7'125","7'126","7'246","7'549","7'871"
"Uri",,"440","439","408","370","344","306","283","313","332","343","376","407"
"Schwyz",,"2'425","2'458","2'390","2'282","2'196","2'128","2'127","2'153","2'182","2'247","2'375","2'512"
"Obwald",,"409","426","431","397","389","355","347","340","335","367","359","359"
"Nidwald",,"525","536","538","506","511","506","498","493","508","499","519","510"
"Glaris",,"898","894","898","866","835","828","825","823","806","797","842","856"
"Zoug",,"2'721","2'749","2'703","2'633","2'623","2'607","2'556","2'574","2'574","2'600","2'690","2'813"
"Fribourg",,"9'102","8'974","8'679","8'230","7'866","7'688","7'581","7'960","7'907","8'105","8'475","9'019"
"Soleure",,"6'954","7'002","6'915","6'798","6'727","6'672","6'614","6'744","6'812","6'883","7'099","7'272"
"Bâle-Ville",,"5'534","5'711","5'578","5'643","5'513","5'422","5'260","5'273","5'301","5'375","5'622","5'788"
"Bâle-Campagne",,"5'942","5'887","5'905","5'802","5'755","5'826","5'799","5'824","5'785","5'723","5'941","6'123"
"Schaffhouse",,"2'659","2'681","2'670","2'589","2'616","2'572","2'438","2'489","2'504","2'460","2'547","2'564"
"Appenzell Rhodes-Extérieures",,"992","987","974","939","898","914","935","951","940","922","976","1'001"
"Appenzell Rhodes-Intérieures",,"149","149","143","151","143","134","129","130","128","128","150","167"
"St-Gall",,"12'094","12'143","11'916","11'497","11'333","11'140","11'011","11'154","11'197","11'401","11'710","11'997"
"Grisons",,"3'997","3'944","3'915","4'042","3'631","2'951","2'795","2'767","2'899","3'487","3'835","3'765"
"Argovie",,"16'408","16'529","16'298","15'885","15'760","15'593","15'358","15'485","15'546","15'816","16'354","16'677"
"Thurgovie",,"6'552","6'652","6'568","6'271","6'157","5'961","5'722","5'719","5'874","5'907","6'095","6'265"
"Tessin",,"10'677","10'610","9'689","9'133","8'765","8'481","8'371","8'462","8'761","9'344","9'842","10'175"
"Vaud",,"27'341","27'327","26'914","26'126","25'668","25'095","24'922","25'862","25'760","25'962","26'463","27'411"
"Valais",,"13'761","13'297","12'095","10'737","9'815","8'827","8'556","8'753","8'838","9'206","10'340","12'700"
"Neuchâtel",,"7'319","7'314","7'151","6'964","6'954","6'910","7'015","7'105","7'151","7'190","7'361","7'605"
"Genève",,"16'864","16'906","16'905","16'678","16'582","16'355","16'237","16'317","16'491","16'551","16'516","16'711"
"Jura",,"2'396","2'432","2'425","2'351","2'320","2'355","2'398","2'397","2'360","2'426","2'498","2'617"
"Total",,"222'751","222'888","218'187","210'926","206'239","201'131","199'347","201'989","203'568","207'512","215'215","223'413"
